"Time","ResultDescription"
2022-3-20 16:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 18:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-20 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-20 20:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 12:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-20 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 02:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"Users' needs to enroll for second factor authentication (interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 05:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 04:00:00.0000,"Application X doesn't have permission to access application Y or the permission has been revoked. Or The user or administrator has not consented to use the application with ID X. Send an interactive authorization request for this user and resource. Or The user or administrator has not consented to use the application with ID X. Send an authorization request to your tenant admin to act on behalf of the App : Y for Resource : Z."
2022-3-21 01:00:00.0000,"Flow token expired - Authentication Failed. Have user try signing-in again with username -password."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 02:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 04:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 04:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 05:00:00.0000,Other
2022-3-21 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 07:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 07:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 02:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 08:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 08:00:00.0000,"Flow token expired - Authentication Failed. Have user try signing-in again with username -password."
2022-3-21 04:00:00.0000,"Application X doesn't have permission to access application Y or the permission has been revoked. Or The user or administrator has not consented to use the application with ID X. Send an interactive authorization request for this user and resource. Or The user or administrator has not consented to use the application with ID X. Send an authorization request to your tenant admin to act on behalf of the App : Y for Resource : Z."
2022-3-21 04:00:00.0000,"Application X doesn't have permission to access application Y or the permission has been revoked. Or The user or administrator has not consented to use the application with ID X. Send an interactive authorization request for this user and resource. Or The user or administrator has not consented to use the application with ID X. Send an authorization request to your tenant admin to act on behalf of the App : Y for Resource : Z."
2022-3-21 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 04:00:00.0000,Other
2022-3-21 05:00:00.0000,Other
2022-3-21 05:00:00.0000,Other
2022-3-21 05:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 05:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 05:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 04:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 07:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 08:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 08:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 08:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 07:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 10:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 10:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 10:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 09:00:00.0000,"Invalid username or password or Invalid on-premise username or password."
2022-3-21 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 09:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,Other
2022-3-21 11:00:00.0000,Other
2022-3-21 09:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 11:00:00.0000,Other
2022-3-21 10:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 12:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 12:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 12:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 12:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 12:00:00.0000,Other
2022-3-21 13:00:00.0000,Other
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,Other
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 11:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,Other
2022-3-21 15:00:00.0000,"Device Authentication Required - DeviceId -DeviceAltSecId claims are null OR no device corresponding to the device identifier exists."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 16:00:00.0000,"Invalid username or password or Invalid on-premise username or password."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"Flow token expired - Authentication Failed. Have user try signing-in again with username -password."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,Other
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 12:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 19:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 19:00:00.0000,"Invalid password, entered expired password."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 15:00:00.0000,"Device Authentication Required - DeviceId -DeviceAltSecId claims are null OR no device corresponding to the device identifier exists."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 20:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"Invalid username or password or Invalid on-premise username or password."
2022-3-21 16:00:00.0000,Other
2022-3-21 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 13:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 15:00:00.0000,"Flow token expired - Authentication Failed. Have user try signing-in again with username -password."
2022-3-21 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 18:00:00.0000,Other
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 16:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 18:00:00.0000,"Session is invalid due to expiration or recent password change."
2022-3-21 19:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 18:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 18:00:00.0000,"Invalid username or password or Invalid on-premise username or password."
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 20:00:00.0000,"Users' needs to enroll for second factor authentication (interactive)."
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 18:00:00.0000,Other
2022-3-21 17:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 17:00:00.0000,"The resource principal was not found in the tenant. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant."
2022-3-21 19:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 20:00:00.0000,"Users' needs to enroll for second factor authentication (interactive)."
2022-3-21 20:00:00.0000,"Users' needs to enroll for second factor authentication (interactive)."
2022-3-21 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 20:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 20:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 20:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 20:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 22:00:00.0000,"Device Authentication Required - DeviceId -DeviceAltSecId claims are null OR no device corresponding to the device identifier exists."
2022-3-21 22:00:00.0000,"Device Authentication Required - DeviceId -DeviceAltSecId claims are null OR no device corresponding to the device identifier exists."
2022-3-21 20:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 06:00:00.0000,Other
2022-3-22 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 06:00:00.0000,Other
2022-3-22 06:00:00.0000,Other
2022-3-22 08:00:00.0000,"Invalid username or password or Invalid on-premise username or password."
2022-3-22 09:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 23:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 23:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 01:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 04:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 03:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 06:00:00.0000,Other
2022-3-22 06:00:00.0000,Other
2022-3-22 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-22 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-22 08:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-21 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-21 21:00:00.0000,Other
